move_see,grip,stim,trialID,uniquetrial,ms_txt,grip_txt,daq,trial_number,jitter
0,3,0,30,9,MOVE,TRIPOD,8,0,3.0
1,2,2,122,8,VIEW,PINCH,255,1,3.0
0,4,0,40,12,MOVE,1 FINGER,16,2,1.5
1,0,2,102,2,VIEW,OPEN,255,3,1.5
0,2,0,20,6,MOVE,PINCH,4,4,3.0
1,2,1,121,7,VIEW,PINCH,255,5,1.5
1,3,2,132,11,VIEW,TRIPOD,255,6,3.0
0,6,0,60,16,MOVE,3 FINGERS,64,7,1.5
1,0,1,101,1,VIEW,OPEN,255,8,3.0
0,0,0,0,0,MOVE,OPEN,1,9,3.0
1,5,1,151,15,VIEW,2 FINGERS,255,10,4.5
0,7,0,70,18,MOVE,4 FINGERS,128,11,4.5
1,6,1,161,17,VIEW,3 FINGERS,255,12,3.0
1,3,1,131,10,VIEW,TRIPOD,255,13,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,14,1.5
1,1,1,111,4,VIEW,CLOSE,255,15,4.5
1,4,1,141,13,VIEW,1 FINGER,255,16,3.0
0,1,0,10,3,MOVE,CLOSE,2,17,3.0
1,1,2,112,5,VIEW,CLOSE,255,18,3.0
1,7,1,171,19,VIEW,4 FINGERS,255,19,3.0
1,6,1,161,17,VIEW,3 FINGERS,255,20,3.0
0,1,0,10,3,MOVE,CLOSE,2,21,3.0
1,0,2,102,2,VIEW,OPEN,255,22,1.5
1,1,2,112,5,VIEW,CLOSE,255,23,3.0
0,6,0,60,16,MOVE,3 FINGERS,64,24,1.5
1,2,1,121,7,VIEW,PINCH,255,25,1.5
0,2,0,20,6,MOVE,PINCH,4,26,3.0
1,3,1,131,10,VIEW,TRIPOD,255,27,3.0
0,3,0,30,9,MOVE,TRIPOD,8,28,3.0
1,0,1,101,1,VIEW,OPEN,255,29,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,30,1.5
1,2,2,122,8,VIEW,PINCH,255,31,3.0
1,3,2,132,11,VIEW,TRIPOD,255,32,3.0
0,0,0,0,0,MOVE,OPEN,1,33,3.0
1,5,1,151,15,VIEW,2 FINGERS,255,34,4.5
1,1,1,111,4,VIEW,CLOSE,255,35,4.5
0,7,0,70,18,MOVE,4 FINGERS,128,36,4.5
1,7,1,171,19,VIEW,4 FINGERS,255,37,3.0
0,4,0,40,12,MOVE,1 FINGER,16,38,1.5
1,4,1,141,13,VIEW,1 FINGER,255,39,3.0
1,2,2,122,8,VIEW,PINCH,255,40,3.0
0,1,0,10,3,MOVE,CLOSE,2,41,3.0
1,1,2,112,5,VIEW,CLOSE,255,42,3.0
1,3,1,131,10,VIEW,TRIPOD,255,43,3.0
0,5,0,50,14,MOVE,2 FINGERS,32,44,1.5
1,1,1,111,4,VIEW,CLOSE,255,45,4.5
1,5,1,151,15,VIEW,2 FINGERS,255,46,4.5
0,6,0,60,16,MOVE,3 FINGERS,64,47,1.5
1,0,2,102,2,VIEW,OPEN,255,48,1.5
0,7,0,70,18,MOVE,4 FINGERS,128,49,4.5
1,0,1,101,1,VIEW,OPEN,255,50,3.0
1,4,1,141,13,VIEW,1 FINGER,255,51,3.0
0,2,0,20,6,MOVE,PINCH,4,52,3.0
1,7,1,171,19,VIEW,4 FINGERS,255,53,3.0
0,4,0,40,12,MOVE,1 FINGER,16,54,1.5
1,6,1,161,17,VIEW,3 FINGERS,255,55,3.0
0,3,0,30,9,MOVE,TRIPOD,8,56,3.0
1,2,1,121,7,VIEW,PINCH,255,57,1.5
0,0,0,0,0,MOVE,OPEN,1,58,3.0
1,3,2,132,11,VIEW,TRIPOD,255,59,3.0
