move_see,grip,stim,trialID,uniquetrial,ms_txt,grip_txt,trial_number,jitter
1,0,1,101,16,SEE,OPEN,19,2.0
1,0,2,102,8,SEE,OPEN,23,2.0
0,7,0,070,15,MOVE,4 FINGERS,3,2.0
1,3,1,131,19,SEE,TRIPOD,12,2.0
0,1,0,010,9,MOVE,CLOSE,18,2.0
1,7,2,172,23,SEE,4 FINGERS,6,2.0
1,4,1,141,4,SEE,1 FINGER,1,4.0
1,1,2,112,17,SEE,CLOSE,14,6.0
1,4,2,142,20,SEE,1 FINGER,0,2.0
1,6,1,161,22,SEE,3 FINGERS,16,6.0
0,2,0,020,18,MOVE,PINCH,10,6.0
1,1,1,111,1,SEE,CLOSE,5,6.0
1,7,1,171,7,SEE,4 FINGERS,20,4.0
1,3,2,132,11,SEE,TRIPOD,22,4.0
1,6,2,162,14,SEE,3 FINGERS,13,2.0
0,3,0,030,3,MOVE,TRIPOD,8,2.0
1,2,2,122,2,SEE,PINCH,9,4.0
0,0,0,000,0,MOVE,OPEN,17,4.0
1,5,2,152,5,SEE,2 FINGERS,11,4.0
0,6,0,060,6,MOVE,3 FINGERS,2,2.0
1,2,1,121,10,SEE,PINCH,4,4.0
0,4,0,040,12,MOVE,1 FINGER,21,2.0
1,5,1,151,13,SEE,2 FINGERS,7,6.0
0,5,0,050,21,MOVE,2 FINGERS,15,2.0
